program,source_page,source_sha256,source_recovery,translation,numeric_qa,korean_review,visual_qa,target_pages,reviewer,notes
hell-joseon,3,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,4,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,5,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,6,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,7,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,8,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,9,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,10,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,11,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,12,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,13,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,14,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,15,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,16,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,17,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,18,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,19,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,20,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,21,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,22,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,23,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,24,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,25,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,26,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,27,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,28,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,29,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,30,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,31,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,32,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
hell-joseon,33,f28bb9c1255bb184a73beba40d720f5daa721aad039ac206f4332042dd0c8a7a,needs_review,not_started,not_started,not_started,not_started,,,
lotus,1,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_recovery,not_started,not_started,not_started,not_started,,,
lotus,2,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,3,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,4,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,5,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,6,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,7,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,8,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,9,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,10,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,11,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,12,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,13,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,14,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,15,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,16,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,17,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,18,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
lotus,19,7d4f1535dc35e8d964b8b1358c3e4daefe27da298ba8085f6805fc00324cd784,needs_review,not_started,not_started,not_started,not_started,,,
